,country,isonum,isocode,year,rank_heal,heal,Sadness,Sadness_year,Joy,Joy_year,healp,healp_year,cityheal,cityheal_year,tblnl,tblnl_year,Obesity,Obesity_year,mort,mort_year,meandiabetes,meandiabetes_year,leb,leb_year,dpt,dpt_year,imeas,imeas_year,impsan,impsan_year
0,Afghanistan,4,AFG,2007,140,51.600807189941406,***,2008,***,2008,***,2008,***,2008,3.4859085083007812,--,2.4,2010,848.8392944335938,--,6.91350793838501,2007,57.83382926829268,2007,63,2007,55,2007,27.4,2007
1,Angola,24,AGO,2007,123,57.914005279541016,***,2011,***,2011,***,2011,***,2011,2.9558451175689697,--,8.3,2010,885.0047607421875,--,4.509121417999268,2007,49.435731707317075,2007,83,2007,88,2007,41.8,2007
2,Albania,8,ALB,2007,45,74.52774810791016,***,2009,***,2009,***,2009,***,2008,-1.2039728164672852,2007,16.1,2010,459.6,2007,7.164757251739502,2007,76.47029268292683,2007,98,2007,97,2007,88.9,2007
3,United Arab Emirates,784,ARE,2007,34,77.57512664794922,***,2009,***,2009,***,2009,***,2009,0.2158738374710083,--,34.5,2010,547.2,2007,7.055901527404785,2007,76.11117073170732,2007,92,2007,92,2007,97.5,2007
4,Argentina,32,ARG,2007,48,74.43910217285156,***,2007,***,2007,***,2007,***,2007,0.4700036346912384,2007,23.7,2010,633.3,2007,9.126663208007812,2007,75.00904878048782,2007,91,2007,94,2007,93.9,2007
5,Armenia,51,ARM,2007,90,67.91763305664062,***,2007,***,2007,***,2007,***,2007,1.5686159133911133,2008,17.8,2010,746.7,2006,10.287313461303711,2007,73.76465853658539,2007,88,2007,92,2007,89.5,2007
6,Australia,36,AUS,2007,13,80.61089324951172,***,2007,***,2007,***,2007,***,2007,-2.3025851249694824,2007,26.0,2010,377.7,2007,7.075125694274902,2007,81.29268292682927,2007,92,2007,94,2007,100.0,2007
7,Austria,40,AUT,2007,16,79.66332244873047,***,2008,***,2008,***,2008,***,2008,-1.2039728164672852,2007,16.7,2010,433.2,2007,5.808597564697266,2007,80.18048780487806,2007,85,2007,79,2007,100.0,2007
8,Azerbaijan,31,AZE,2007,104,63.36712646484375,***,2007,***,2007,***,2007,***,2007,1.2527629137039185,2007,19.4,2010,730.1,2007,8.589842796325684,2007,69.75651219512197,2007,79,2007,75,2007,76.8,2007
9,Burundi,108,BDI,2007,113,60.89915466308594,***,2008,***,2008,***,2008,***,2008,3.787709951400757,--,2.0,2010,837.2401123046875,--,2.0735394954681396,2007,53.456073170731706,2007,99,2007,88,2007,46.1,2007
10,Belgium,56,BEL,2007,7,81.34881591796875,***,2007,***,2007,***,2007,***,2007,-0.9162907600402832,2007,18.7,2010,453.6,2007,6.42625093460083,2007,79.7829268292683,2007,98,2007,92,2007,99.5,2007
11,Benin,204,BEN,2007,134,54.60943603515625,***,2008,***,2008,***,2008,***,2008,3.3524653911590576,--,8.0,2010,930.47705078125,--,4.388381004333496,2007,57.86739024390245,2007,82,2007,70,2007,15.6,2007
12,Burkina Faso,854,BFA,2007,118,58.928714752197266,***,2007,***,2007,***,2007,***,2007,3.2314321994781494,--,5.3,2010,634.3546142578125,--,3.5045156478881836,2007,55.18880487804878,2007,89,2007,94,2007,15.6,2007
13,Bangladesh,50,BGD,2007,99,65.07501220703125,***,2007,***,2007,***,2007,***,2007,4.169143199920654,--,2.9,2010,848.553466796875,--,6.537173271179199,2007,68.8599756097561,2007,94,2007,89,2007,52.8,2007
14,Bulgaria,100,BGR,2007,84,68.90377044677734,***,2009,***,2009,***,2009,***,2009,0.8754687309265137,2007,21.2,2010,792.5,2007,8.965909957885742,2007,72.66341463414635,2007,95,2007,96,2007,85.9,2007
15,Bahrain,48,BHR,2007,33,77.6536865234375,***,2009,***,2009,***,2009,***,2009,0.2623642683029175,2007,32.5,2010,506.3,2007,7.410743713378906,2007,75.70775609756097,2007,97,2007,99,2007,99.2,2007
16,Belarus,112,BLR,2007,92,67.52825164794922,***,2007,***,2007,***,2007,***,2007,2.0281481742858887,2007,21.0,2010,919.7,2007,8.479962348937988,2007,70.20341463414636,2007,95,2007,99,2007,94.6,2007
17,Belize,84,BLZ,2007,61,72.72271728515625,***,2007,***,2007,***,2007,***,2007,0.18934877216815948,--,20.8,2010,673.0816040039062,--,8.16700267791748,2007,69.452,2007,96,2007,96,2007,87.3,2007
18,Bolivia,68,BOL,2007,101,63.9848518371582,***,2007,***,2007,***,2007,***,2007,2.313178777694702,--,15.3,2010,704.580810546875,--,5.6313629150390625,2007,64.69412195121951,2007,84,2007,86,2007,44.0,2007
19,Brazil,76,BRA,2007,65,72.31058502197266,***,2007,***,2007,***,2007,***,2007,1.1314021348953247,2007,17.8,2010,675.7,2007,6.716729164123535,2007,72.41482926829269,2007,99,2007,99,2007,78.8,2007
20,Botswana,72,BWA,2007,83,68.91158294677734,***,2008,***,2008,***,2008,***,2008,0.18994678556919098,--,19.4,2010,543.6211547851562,--,5.06285285949707,2007,59.074560975609764,2007,96,2007,95,2007,58.0,2007
21,Central African Republic,140,CAF,2007,147,48.61004638671875,***,2007,***,2007,***,2007,***,2007,3.444537401199341,--,4.4,2010,867.2015380859375,--,4.605005264282227,2007,45.68739024390245,2007,48,2007,59,2007,19.6,2007
22,Canada,124,CAN,2007,14,80.3747329711914,***,2007,***,2007,***,2007,***,2007,-1.6094379425048828,2007,25.9,2010,407.9,2007,6.754522800445557,2007,80.63439024390244,2007,94,2007,94,2007,99.8,2007
23,Switzerland,756,CHE,2007,5,82.21589660644531,***,2009,***,2009,***,2009,***,2009,-1.6094379425048828,2007,17.8,2010,371.4,2007,5.315617561340332,2007,81.74146341463415,2007,94,2007,87,2007,99.9,2007
24,Chile,152,CHL,2007,53,73.8956069946289,***,2007,***,2007,***,2007,***,2007,1.0647107362747192,2007,25.3,2010,476.7,2007,9.517626762390137,2007,79.31353658536587,2007,96,2007,92,2007,96.0,2007
25,China,156,CHN,2007,63,72.5484619140625,***,2007,***,2007,***,2007,***,2007,3.534611940383911,--,5.3,2010,662.8924560546875,--,7.2747039794921875,2007,74.34043902439025,2007,93,2007,94,2007,67.2,2007
26,Ivory Coast,384,CIV,2007,138,52.79853820800781,***,2009,***,2009,***,2009,***,2009,3.3572936058044434,--,7.9,2010,779.7310180664062,--,4.351496696472168,2007,48.77882926829269,2007,76,2007,67,2007,19.9,2007
27,Cameroon,120,CMR,2007,125,57.42636489868164,***,2007,***,2007,***,2007,***,2007,3.2606611251831055,--,9.8,2010,861.0916748046875,--,4.1108012199401855,2007,52.47914634146342,2007,82,2007,74,2007,43.9,2007
28,Democratic Republic of Congo,180,COD,2007,145,49.674644470214844,***,2009,***,2009,***,2009,***,2009,5.4063873291015625,--,3.7,2010,1083.7415771484375,--,3.4855000972747803,2007,55.064414634146345,2007,70,2007,68,2007,25.6,2007
29,Congo,178,COG,2007,141,51.10459899902344,***,2008,***,2008,***,2008,***,2008,2.68802809715271,--,9.5,2010,911.5003051757812,--,4.720641613006592,2007,55.80131707317073,2007,72,2007,59,2007,13.7,2007
30,Colombia,170,COL,2007,60,72.91250610351562,***,2007,***,2007,***,2007,***,2007,1.2237753868103027,2007,19.0,2010,557.6,2007,6.751766204833984,2007,72.70551219512195,2007,93,2007,93,2007,78.0,2007
