,country,isonum,isocode,year,rank_pers,pers,racial,racial_year,immig,immig_year,freedom,freedom_year,lgbx,lgbx_year,propright,propright_year,rrgov,rrgov_year,rrsoc,rrsoc_year,lgbt_rights,lgbt_rights_year,deathpen,deathpen_year,civlib,civlib_year,conscription,conscription_year,pf,pf_year
0,Afghanistan,4,AFG,2007,142,32.290103912353516,***,2008,***,2008,***,2008,***,2008,0,2015,5.3,2007,8.5,2007,0,2016,1,2007,3,2007,7.698071002960205,--,71.0,2007
1,Angola,24,AGO,2007,113,45.12345886230469,***,2011,***,2011,***,2011,***,2011,1,2009,3.3,2007,3.7,2007,0,2016,0,2007,3,2007,0.0,2007,63.0,2007
2,Albania,8,ALB,2007,68,60.27591323852539,***,2008,***,2009,***,2009,***,2009,1,2009,0.8,2007,0.2,2007,1,2007,0,2007,5,2007,3.0,2007,50.0,2007
3,United Arab Emirates,784,ARE,2007,106,49.08757019042969,***,2009,***,2009,***,2009,***,--,1,2009,3.9,2007,0.1,2007,0,2016,1,2007,3,2007,10.0,2007,68.0,2007
4,Argentina,32,ARG,2007,55,63.80562210083008,***,2007,***,2007,***,2007,***,2007,1,2009,1.7,2007,0.6,2007,1,2007,1,2007,6,2007,10.0,2007,47.0,2007
5,Armenia,51,ARM,2007,84,55.07895278930664,***,2007,***,2007,***,2007,***,2007,1,2009,3.4,2007,2.7,2007,1,2007,0,2007,4,2007,0.0,2007,66.0,2007
6,Australia,36,AUS,2007,9,84.31954956054688,***,2007,***,2007,***,2007,***,2007,1,2009,1.3,2007,1.8,2007,1,2007,0,2007,7,2007,10.0,2007,21.0,2007
7,Austria,40,AUT,2007,30,73.27188873291016,***,2008,***,2008,***,2008,***,2008,1,2009,2.6,2007,1.1,2007,1,2007,0,2007,7,2007,3.0,2007,21.0,2007
8,Azerbaijan,31,AZE,2007,114,44.87109375,***,2007,***,2007,***,2007,***,2007,1,2009,5.0,2007,2.9,2007,1,2007,0,2007,3,2007,1.0,2007,77.0,2007
9,Burundi,108,BDI,2007,116,44.7602653503418,***,2008,***,2008,***,2008,***,2008,1,2009,0.4,2007,0.9,2007,0,2016,1,2007,3,2007,10.0,2007,74.0,2007
10,Belgium,56,BEL,2007,8,85.22164916992188,***,2007,***,2007,***,2007,***,2007,1,2009,4.0,2007,0.9,2007,3,2007,0,2007,7,2007,10.0,2007,11.0,2007
11,Benin,204,BEN,2007,56,63.341373443603516,***,2008,***,2008,***,2008,***,2008,1,2009,0.3,2007,0.0,2007,1,2007,1,2007,6,2007,1.0,2007,31.0,2007
