,country,isonum,isocode,year,rank_safe,safe,shelter,shelter_year,food,food_year,walking,walking_year,stolen,stolen_year,warcasual,warcasual_year,pts,pts_year,tdeathslnl5,tdeathslnl5_year,refugee_oriln,refugee_oriln_year,bdeathslnl,bdeathslnl_year,rdeathslnl,rdeathslnl_year,homilnl,homilnl_year
0,Afghanistan,4,AFG,2007,149,37.24028015136719,***,2008,***,2008,***,2008,***,2008,3.0,2007,5.0,2007,6.059574127197266,2007,11.679784774780273,2007,5.564810752868652,2007,2.265711545944214,--,1.3922966718673706,2009
1,Angola,24,AGO,2007,137,53.32512283325195,***,2011,***,2011,***,2011,***,2011,0.0,2007,3.5,2007,-0.6931471824645996,2007,9.18026351928711,2007,0.26480403542518616,2007,2.9776105880737305,--,2.3837757110595703,2012
2,Albania,8,ALB,2007,61,68.98988342285156,***,2009,***,2009,***,2011,***,2009,0.0,2007,2.5,2007,-0.6931471824645996,2007,8.549651145935059,2007,-4.2985358238220215,2007,2.186051368713379,2007,1.1988362073898315,2007
3,United Arab Emirates,784,ARE,2007,16,80.37022399902344,***,2009,***,2009,***,2010,***,2009,0.0,2007,2.0,2007,-0.6931471824645996,2007,3.9366583824157715,2007,-4.2985358238220215,2007,2.1474971771240234,--,-0.23105686902999878,2010
4,Argentina,32,ARG,2007,65,68.51971435546875,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.0,2007,-0.6931471824645996,2007,3.3774867057800293,2007,-4.2985358238220215,2007,2.3795461654663086,2007,1.9588311910629272,2007
5,Armenia,51,ARM,2007,48,71.59526824951172,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,8.549814224243164,2007,-4.2985358238220215,2007,1.7404661178588867,2006,0.9459863901138306,2007
6,Australia,36,AUS,2007,15,80.57516479492188,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.0,2007,-0.6931471824645996,2007,1.1068557500839233,2007,-4.2985358238220215,2007,2.054123640060425,2007,0.18249692022800446,2007
7,Austria,40,AUT,2007,11,81.4877700805664,***,2008,***,2008,***,2008,***,2008,0.0,2007,2.0,2007,-0.6931471824645996,2007,1.019782543182373,2007,-4.2985358238220215,2007,2.054123640060425,2007,-0.6135582327842712,2007
8,Azerbaijan,31,AZE,2007,83,64.28309631347656,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,-0.6931471824645996,2007,7.525494575500488,2007,-4.2985358238220215,2007,0.0,2007,0.6965481638908386,2007
9,Burundi,108,BDI,2007,134,53.68046569824219,***,2008,***,2008,***,2008,***,2008,0.0,2007,4.0,2007,2.8704092502593994,2007,10.694838523864746,2007,-4.2985358238220215,2007,2.8430182933807373,--,1.3747159242630005,2008
10,Belgium,56,BEL,2007,23,78.13798522949219,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.5,2007,-0.6931471824645996,2007,1.7310689687728882,2007,-4.2985358238220215,2007,2.3513753414154053,2007,0.6810820698738098,2007
11,Benin,204,BEN,2007,76,65.48629760742188,***,2008,***,2008,***,2008,***,2008,0.0,2007,2.0,2007,-0.6931471824645996,2007,3.4379184246063232,2007,-4.2985358238220215,2007,2.725958824157715,--,1.845055341720581,2012
12,Burkina Faso,854,BFA,2007,55,70.42594909667969,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,-0.6931471824645996,2007,3.6666200160980225,2007,-4.2985358238220215,2007,2.8113503456115723,--,-0.27616286277770996,2007
13,Bangladesh,50,BGD,2007,66,68.11898803710938,***,2007,***,2007,***,2007,***,2007,0.0,2007,4.0,2007,2.2601518630981445,2007,4.246691703796387,2007,-4.2985358238220215,2007,2.1678223609924316,--,0.9698819518089294,2007
14,Bulgaria,100,BGR,2007,51,71.12898254394531,***,2009,***,2009,***,2009,***,2009,0.0,2007,2.5,2007,-0.6931471824645996,2007,6.084075450897217,2007,-4.2985358238220215,2007,2.5336968898773193,2007,0.8502780795097351,2007
15,Bahrain,48,BHR,2007,28,77.00466918945312,***,2009,***,2009,***,2009,***,2009,0.00016732816584408283,--,2.0,2007,-0.6931471824645996,2007,4.264238357543945,2007,-4.2985358238220215,2007,2.2721259593963623,2007,-0.9481313824653625,2007
16,Belarus,112,BLR,2007,72,66.5967788696289,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,6.253587245941162,2007,-4.2985358238220215,2007,2.8791985511779785,2007,1.9126098155975342,2007
17,Belize,84,BLZ,2007,82,64.56396484375,***,2007,***,2007,***,2007,***,2007,0.0012147924862802029,--,2.0,2007,-0.6931471824645996,2007,4.0425238609313965,2007,-4.2985358238220215,2007,3.1499500274658203,--,3.5232043266296387,2007
18,Bolivia,68,BOL,2007,92,63.31742858886719,***,2007,***,2007,***,2007,***,2007,0.0,2007,2.5,2007,-0.6931471824645996,2007,3.8140101432800293,2007,-4.2985358238220215,2007,2.9414780139923096,--,2.095947504043579,2007
19,Brazil,76,BRA,2007,95,62.789546966552734,***,2007,***,2007,***,2007,***,2007,0.0,2007,4.0,2007,-0.5545177459716797,2007,2.1310744285583496,2007,-4.2985358238220215,2007,2.995732307434082,2007,3.156456232070923,2007
20,Botswana,72,BWA,2007,98,62.5155143737793,***,2008,***,2008,***,2008,***,2008,0.0,2007,2.0,2007,-0.6931471824645996,2007,2.1148455142974854,2007,-4.2985358238220215,2007,2.900941848754883,--,2.682389259338379,2007
21,Central African Republic,140,CAF,2007,143,45.644588470458984,***,2007,***,2007,***,2007,***,2007,3.0,2007,4.5,2007,-0.13862943649291992,2007,10.058197975158691,2007,-4.2985358238220215,2007,2.859945297241211,--,2.6136600971221924,2012
22,Canada,124,CAN,2007,20,78.72323608398438,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.5,2007,-0.6931471824645996,2007,2.779771327972412,2007,-4.2985358238220215,2007,2.1747517585754395,2007,0.49105313420295715,2007
23,Switzerland,756,CHE,2007,10,81.97004699707031,***,2009,***,2009,***,2009,***,2009,0.0,2007,2.0,2007,-0.6931471824645996,2007,1.4122916460037231,2007,-4.2985358238220215,2007,1.5686159133911133,2007,-0.3942537307739258,2007
24,Chile,152,CHL,2007,59,69.77238464355469,***,2007,***,2007,***,2007,***,2007,0.0,2007,1.5,2007,-0.6931471824645996,2007,4.076198577880859,2007,-4.2985358238220215,2007,2.5336968898773193,2007,1.3071177005767822,2007
25,China,156,CHN,2007,52,71.09078979492188,***,2008,***,2008,***,2009,***,2009,0.0,2007,3.5,2007,0.6356107592582703,2007,4.728555679321289,2007,-4.2985358238220215,2007,2.583930492401123,--,0.18897418677806854,2007
26,Ivory Coast,384,CIV,2007,118,59.06770324707031,***,2009,***,2009,***,2009,***,2009,0.0,2007,4.0,2007,1.5615832805633545,2007,7.072129726409912,2007,-4.2985358238220215,2007,2.5884182453155518,--,2.520653486251831,2012
27,Cameroon,120,CMR,2007,101,62.19700622558594,***,2007,***,2007,***,2007,***,2007,0.0,2007,3.0,2007,0.1322796791791916,2007,6.402256488800049,2007,-4.2985358238220215,2007,2.9583027362823486,--,1.1502444744110107,2008
28,Democratic Republic of Congo,180,COD,2007,148,40.69724655151367,***,2009,***,2009,***,2009,***,2009,5.0,2007,5.0,2007,3.7262396812438965,2007,8.730679512023926,2007,2.3573007583618164,2007,2.8790884017944336,--,2.6009039878845215,2012
29,Congo,178,COG,2007,120,58.56467056274414,***,2008,***,2008,***,2008,***,2008,0.0,2007,2.5,2007,-0.6931471824645996,2007,8.577590942382812,2007,-4.2985358238220215,2007,2.7018866539001465,--,2.355339765548706,2012
